customer_id,date,consumption_m3,billed,paid,country
1,01-01-20,57.53872654,20000,20000,Lesotho
1,01-02-20,101.1532359,30110.55282,26393.28317,Lesotho
1,01-03-20,47.62414445,20000,20000,Lesotho
1,01-04-20,39.17251804,20000,20000,Lesotho
1,01-05-20,98.75303126,24391.84138,24391.84138,Lesotho
1,01-06-20,94.82886322,30992.86285,30992.86285,Lesotho
1,01-07-20,182.7916299,43280.05592,36271.26847,Lesotho
1,01-08-20,74.0747742,20776.4522,20776.4522,Lesotho
1,01-09-20,53.83064097,20000,10816.27035,Lesotho
1,01-10-20,214.5125314,70139.37661,70139.37661,Lesotho
1,01-11-20,26.55501241,20000,20000,Lesotho
1,01-12-20,99.62765591,20602.25273,20602.25273,Lesotho
1,01-01-21,409.9769295,101868.0724,101868.0724,Lesotho
1,01-02-21,146.2777024,50798.28022,50798.28022,Lesotho
1,01-03-21,41.72368258,20000,20000,Lesotho
1,01-04-21,35.43746967,20000,15975.49069,Lesotho
1,01-05-21,210.8862701,56147.26966,56147.26966,Lesotho
1,01-06-21,40.8603759,20000,14828.60434,Lesotho
1,01-07-21,184.7152494,47861.91335,47861.91335,Lesotho
1,01-08-21,68.79040015,20000,20000,Lesotho
1,01-09-21,155.2933848,44320.29152,44320.29152,Lesotho
1,01-10-21,54.70849108,20000,20000,Lesotho
1,01-11-21,123.0843271,28107.27148,28107.27148,Lesotho
1,01-12-21,62.09207463,21362.85147,15512.88007,Lesotho
1,01-01-22,310.7748046,83235.50114,83235.50114,Lesotho
1,01-02-22,118.2980949,28315.79986,25017.00525,Lesotho
1,01-03-22,46.35823768,20000,20000,Lesotho
1,01-04-22,57.21530266,20000,20000,Lesotho
1,01-05-22,47.3261155,20000,20000,Lesotho
1,01-06-22,43.99848814,20000,20000,Lesotho
1,01-07-22,120.4043902,24276.25925,24276.25925,Lesotho
1,01-08-22,158.7292834,36218.47663,36218.47663,Lesotho
1,01-09-22,85.83341351,20000,20000,Lesotho
1,01-10-22,104.1863763,25917.45474,25917.45474,Lesotho
1,01-11-22,40.77081044,20000,20000,Lesotho
1,01-12-22,102.5075288,25308.66894,25308.66894,Lesotho
1,01-01-23,99.4308528,22533.28792,22533.28792,Lesotho
1,01-02-23,128.4214541,28853.50517,28853.50517,Lesotho
1,01-03-23,485.599415,107041.7789,107041.7789,Lesotho
1,01-04-23,200.7998143,45088.95765,39193.4794,Lesotho
1,01-05-23,71.52122015,20000,20000,Lesotho
1,01-06-23,85.4359994,20000,20000,Lesotho
1,01-07-23,17.9804144,20000,10019.62841,Lesotho
1,01-08-23,89.93425369,20520.29024,20520.29024,Lesotho
1,01-09-23,99.19213721,33712.13475,33712.13475,Lesotho
1,01-10-23,227.6183611,52588.42426,29147.10031,Lesotho
1,01-11-23,211.320532,48203.62833,48203.62833,Lesotho
1,01-12-23,73.03873138,20000,20000,Lesotho
1,01-01-24,78.29910731,27133.17972,27133.17972,Lesotho
1,01-02-24,129.0627862,29148.10412,29148.10412,Lesotho
1,01-03-24,25.6754877,20000,20000,Lesotho
1,01-04-24,78.03892349,20000,20000,Lesotho
1,01-05-24,467.1093075,100873.6879,100873.6879,Lesotho
1,01-06-24,159.7133166,39301.87005,39301.87005,Lesotho
1,01-07-24,50.43169593,20000,11759.33433,Lesotho
1,01-08-24,55.56363469,20000,20000,Lesotho
1,01-09-24,62.73068222,20000,20000,Lesotho
1,01-10-24,50.74998532,20000,20000,Lesotho
1,01-11-24,117.8448812,34763.10435,34763.10435,Lesotho
1,01-12-24,56.99259888,20000,20000,Lesotho
2,01-01-20,419.1775341,126336.6217,126336.6217,Lesotho
2,01-02-20,100.5171039,20658.14175,18089.34126,Lesotho
2,01-03-20,41.7176766,20000,12814.54952,Lesotho
2,01-04-20,86.00583934,20000,15512.16822,Lesotho
2,01-05-20,110.8439657,23091.49185,23091.49185,Lesotho
2,01-06-20,46.20751502,20000,20000,Lesotho
2,01-07-20,151.4123241,40532.92641,40532.92641,Lesotho
2,01-08-20,195.0471447,46587.12512,46587.12512,Lesotho
2,01-09-20,89.64946863,23065.76835,23065.76835,Lesotho
2,01-10-20,86.17514642,21601.07384,21601.07384,Lesotho
2,01-11-20,44.68674242,20000,20000,Lesotho
2,01-12-20,81.53597682,20000,20000,Lesotho
2,01-01-21,264.5855164,70639.83828,64352.9277,Lesotho
2,01-02-21,35.86618345,20000,20000,Lesotho
2,01-03-21,193.7367,46325.4784,26651.54259,Lesotho
2,01-04-21,169.7863305,39907.99362,39907.99362,Lesotho
2,01-05-21,62.33613223,20000,20000,Lesotho
2,01-06-21,107.2202032,35552.87319,35552.87319,Lesotho
2,01-07-21,147.2515642,30340.76366,15200.74018,Lesotho
2,01-08-21,20.8549492,20000,20000,Lesotho
2,01-09-21,276.2397273,92294.21837,92294.21837,Lesotho
2,01-10-21,80.47367883,21666.07854,21666.07854,Lesotho
2,01-11-21,72.9974387,23443.51964,23443.51964,Lesotho
2,01-12-21,108.5886311,37556.90876,37556.90876,Lesotho
2,01-01-22,145.156795,45679.18255,45679.18255,Lesotho
2,01-02-22,188.4259346,51576.49878,51576.49878,Lesotho
2,01-03-22,150.9940655,51674.10197,28287.50681,Lesotho
2,01-04-22,61.44026135,20575.99897,20575.99897,Lesotho
2,01-05-22,156.4302438,46007.34873,23825.75167,Lesotho
2,01-06-22,152.6005678,45024.94897,45024.94897,Lesotho
2,01-07-22,128.4048617,39585.66765,39585.66765,Lesotho
2,01-08-22,97.79233801,23508.93304,23508.93304,Lesotho
2,01-09-22,307.9613214,61736.80655,47058.61022,Lesotho
2,01-10-22,46.55818264,20000,20000,Lesotho
2,01-11-22,56.02556702,20000,20000,Lesotho
2,01-12-22,97.30717343,29636.77526,29636.77526,Lesotho
2,01-01-23,214.1228991,65325.65135,65325.65135,Lesotho
2,01-02-23,259.9836138,80254.69309,80254.69309,Lesotho
2,01-03-23,93.26011874,29254.16878,19766.64631,Lesotho
2,01-04-23,190.5312439,45088.76374,45088.76374,Lesotho
2,01-05-23,90.26395533,21512.01174,21512.01174,Lesotho
2,01-06-23,52.5415783,20000,20000,Lesotho
2,01-07-23,44.30989075,20000,17036.63713,Lesotho
2,01-08-23,63.02186546,20000,20000,Lesotho
2,01-09-23,203.8208343,67223.41774,35388.81052,Lesotho
2,01-10-23,83.72128901,20517.49283,20517.49283,Lesotho
2,01-11-23,92.31929791,20000,20000,Lesotho
2,01-12-23,33.7130222,20000,20000,Lesotho
2,01-01-24,47.87810396,20000,20000,Lesotho
2,01-02-24,51.75794941,20000,20000,Lesotho
2,01-03-24,45.45548098,20000,11166.79071,Lesotho
2,01-04-24,61.69042179,20000,20000,Lesotho
2,01-05-24,55.95165144,20000,20000,Lesotho
2,01-06-24,91.57130068,21368.37015,21368.37015,Lesotho
2,01-07-24,19.89248884,20000,17295.49751,Lesotho
2,01-08-24,78.65971222,22731.90065,22731.90065,Lesotho
2,01-09-24,145.5685871,40077.7604,40077.7604,Lesotho
